iso_code,continent,location,date,new_cases
PAN,North America,Panama,3/9/20,
PAN,North America,Panama,3/10/20,1
PAN,North America,Panama,3/11/20,7
PAN,North America,Panama,3/12/20,3
PAN,North America,Panama,3/13/20,16
PAN,North America,Panama,3/14/20,9
PAN,North America,Panama,3/15/20,7
PAN,North America,Panama,3/16/20,12
PAN,North America,Panama,3/17/20,14
PAN,North America,Panama,3/18/20,17
PAN,North America,Panama,3/19/20,23
PAN,North America,Panama,3/20/20,28
PAN,North America,Panama,3/21/20,63
PAN,North America,Panama,3/22/20,113
PAN,North America,Panama,3/23/20,32
PAN,North America,Panama,3/24/20,0
PAN,North America,Panama,3/25/20,98
PAN,North America,Panama,3/26/20,115
PAN,North America,Panama,3/27/20,116
PAN,North America,Panama,3/28/20,112
PAN,North America,Panama,3/29/20,115
PAN,North America,Panama,3/30/20,88
PAN,North America,Panama,3/31/20,192
PAN,North America,Panama,4/1/20,0
PAN,North America,Panama,4/2/20,136
PAN,North America,Panama,4/3/20,158
PAN,North America,Panama,4/4/20,198
PAN,North America,Panama,4/5/20,128
PAN,North America,Panama,4/6/20,187
PAN,North America,Panama,4/7/20,112
PAN,North America,Panama,4/8/20,149
PAN,North America,Panama,4/9/20,279
PAN,North America,Panama,4/10/20,224
PAN,North America,Panama,4/11/20,222
PAN,North America,Panama,4/12/20,260
PAN,North America,Panama,4/13/20,166
PAN,North America,Panama,4/14/20,72
PAN,North America,Panama,4/15/20,102
PAN,North America,Panama,4/16/20,177
PAN,North America,Panama,4/17/20,265
PAN,North America,Panama,4/18/20,194
PAN,North America,Panama,4/19/20,63
PAN,North America,Panama,4/20/20,194
PAN,North America,Panama,4/21/20,191
PAN,North America,Panama,4/22/20,163
PAN,North America,Panama,4/23/20,345
PAN,North America,Panama,4/24/20,172
PAN,North America,Panama,4/25/20,200
PAN,North America,Panama,4/26/20,241
PAN,North America,Panama,4/27/20,242
PAN,North America,Panama,4/28/20,0
PAN,North America,Panama,4/29/20,357
PAN,North America,Panama,4/30/20,154
PAN,North America,Panama,5/1/20,188
PAN,North America,Panama,5/2/20,370
PAN,North America,Panama,5/3/20,0
PAN,North America,Panama,5/4/20,107
PAN,North America,Panama,5/5/20,326
PAN,North America,Panama,5/6/20,208
PAN,North America,Panama,5/7/20,137
PAN,North America,Panama,5/8/20,202
PAN,North America,Panama,5/9/20,212
PAN,North America,Panama,5/10/20,166
PAN,North America,Panama,5/11/20,168
PAN,North America,Panama,5/12/20,167
PAN,North America,Panama,5/13/20,161
PAN,North America,Panama,5/14/20,174
PAN,North America,Panama,5/15/20,150
PAN,North America,Panama,5/16/20,181
PAN,North America,Panama,5/17/20,157
PAN,North America,Panama,5/18/20,120
PAN,North America,Panama,5/19/20,141
PAN,North America,Panama,5/20/20,110
PAN,North America,Panama,5/21/20,139
PAN,North America,Panama,5/22/20,151
PAN,North America,Panama,5/23/20,310
PAN,North America,Panama,5/24/20,349
PAN,North America,Panama,5/25/20,257
PAN,North America,Panama,5/26/20,264
PAN,North America,Panama,5/27/20,281
PAN,North America,Panama,5/28/20,403
PAN,North America,Panama,5/29/20,400
